CUST_ID,LABEL_PROB,REASON_CODE_1,REASON_CODE_2,REASON_CODE_3
14487,0.238,NA,NA,NA
14517,0.466,STD_DIV <,INV_MONTH9 <,INV_MONTH3 <
14520,0.276,NA,NA,NA
14534,0.154,NA,NA,NA
14564,0.246,NA,NA,NA
14617,0.12,NA,NA,NA
14621,0.068,NA,NA,NA
14628,0.244,NA,NA,NA
14659,0.17,NA,NA,NA
14688,0.062,NA,NA,NA
14706,0.114,NA,NA,NA
14734,0.102,NA,NA,NA
14765,0.59,INV_SEG_32 >,INV_SEG1 <,INV_MONTH7 >
14769,0.082,NA,NA,NA
14785,0.102,NA,NA,NA
14840,0.372,INV_SEG1 <,INV_MONTH12 <,INV_MONTH6 <
14865,0.676,MTG_NUM <,INV_SEG1 <,MTG_NUM_SQUARE <
14934,0.488,INV_MONTH11 <,INV_SEG_32 >,INV_SEG2 <
14939,0.212,NA,NA,NA
14947,0.028,NA,NA,NA
14974,0.154,NA,NA,NA
14981,0.636,INV_MONTH6 >,INV_MONTH12 <,INV_SEG1 <
15022,0.038,NA,NA,NA
15043,0.182,NA,NA,NA
15530,0.056,NA,NA,NA
15080,0.448,STD_RR <,MTG_NUM_SQUARE <,MTG_NUM <
15102,0.292,NA,NA,NA
15110,0.366,INV_MONTH10 <,RR <,INV_MONTH1 <
15152,0.286,NA,NA,NA
15262,0.03,NA,NA,NA
15300,0.108,NA,NA,NA
15308,0.162,NA,NA,NA
15433,0.108,NA,NA,NA
15456,0.122,NA,NA,NA
15534,0.14,NA,NA,NA
15555,0.094,NA,NA,NA
15612,0.082,NA,NA,NA
15613,0.29,NA,NA,NA
15706,0.374,INV_MONTH10 <,INV_MONTH7 <,INV_MONTH6 >
15713,0.012,NA,NA,NA
15737,0.324,MTG_NUM <,MTG_NUM_SQUARE <,RR >
15764,0.076,NA,NA,NA
15780,0.058,NA,NA,NA
15806,0.048,NA,NA,NA
15825,0.026,NA,NA,NA
15838,0.678,DIV <,INV_SEG1 <,MTG_NUM_SQUARE <
15898,0.088,NA,NA,NA
15918,0.044,NA,NA,NA
15946,0.196,NA,NA,NA
15965,0.16,NA,NA,NA
15974,0.168,NA,NA,NA
16038,0.046,NA,NA,NA
16072,0.258,NA,NA,NA
16131,0.062,NA,NA,NA
16137,0.146,NA,NA,NA
16146,0.152,NA,NA,NA
16162,0.468,INV_MONTH11 <,INV_SEG_32 >,INV_SEG2 <
16218,0.428,STD_RR >,INV_MONTH10 >,DIV <
16223,0.45,INV_MONTH1 >,STD_RR <,INV_SEG1 <
16231,0.214,NA,NA,NA
16265,0.074,NA,NA,NA
16278,0.038,NA,NA,NA
16279,0.252,NA,NA,NA
16292,0.146,NA,NA,NA
16663,0.08,NA,NA,NA
16325,0.458,MTG_NUM_INVERSE <,MTG_NUM >,MTG_NUM_SQUARE >
16342,0.042,NA,NA,NA
16347,0.098,NA,NA,NA
16366,0.2,NA,NA,NA
16367,0.264,NA,NA,NA
16380,0.17,NA,NA,NA
16402,0.256,NA,NA,NA
16443,0.078,NA,NA,NA
16481,0.386,INV_SEG_32 >,INV_SEG1 <,MTG_NUM_INVERSE <
16485,0.116,NA,NA,NA
16513,0.1,NA,NA,NA
16539,0.41,INV_MONTH2 <,MTG_NUM <,MTG_NUM_SQUARE <
16546,0.092,NA,NA,NA
16597,0.062,NA,NA,NA
16653,0.142,NA,NA,NA
16661,0.07,NA,NA,NA
16666,0.05,NA,NA,NA
16722,0.046,NA,NA,NA
16756,0.87,INV_SEG1 <,INV_MONTH10 <,INV_MONTH12 <
16823,0.242,NA,NA,NA
16827,0.16,NA,NA,NA
16833,0.28,NA,NA,NA
16844,0.076,NA,NA,NA
17562,0.044,NA,NA,NA
16867,0.472,DIV <,INV_SEG2 <,MTG_NUM <
16887,0.238,NA,NA,NA
16892,0.482,MTG_NUM <,INV_SEG1 >,INV_MONTH12 >
16894,0.144,NA,NA,NA
16918,0.372,INV_MONTH10 <,INV_SEG1 >,INV_SEG_32 >
16927,0.132,NA,NA,NA
16940,0.29,NA,NA,NA
17076,0.114,NA,NA,NA
17168,0.226,NA,NA,NA
17178,0.268,NA,NA,NA
17216,0.038,NA,NA,NA
17263,0.204,NA,NA,NA
17275,0.036,NA,NA,NA
17282,0.474,MTG_NUM_SQUARE <,INV_MONTH12 <,MTG_NUM <
17574,0.204,NA,NA,NA
17360,0.138,NA,NA,NA
17362,0.084,NA,NA,NA
17385,0.222,NA,NA,NA
17413,0.292,NA,NA,NA
17475,0.016,NA,NA,NA
17497,0.092,NA,NA,NA
17523,0.03,NA,NA,NA
17529,0.118,NA,NA,NA
17549,0.05,NA,NA,NA
17587,0.178,NA,NA,NA
17602,0.244,NA,NA,NA
17619,0.288,NA,NA,NA
17660,0.062,NA,NA,NA
17741,0.194,NA,NA,NA
17803,0.114,NA,NA,NA
17823,0.276,NA,NA,NA
17853,0.076,NA,NA,NA
17876,0.028,NA,NA,NA
17897,0.078,NA,NA,NA
17903,0.08,NA,NA,NA
17910,0.224,NA,NA,NA
17961,0.094,NA,NA,NA
17967,0.29,NA,NA,NA
18038,0.032,NA,NA,NA
18132,0.046,NA,NA,NA
18213,0.124,NA,NA,NA
18272,0.176,NA,NA,NA
18278,0.022,NA,NA,NA
18285,0.154,NA,NA,NA
18287,0.106,NA,NA,NA
18292,0.398,INV_SEG_32 >,AVG_BAL <,INV_MONTH12 <
18302,0.33,INV_SEG1 <,INV_MONTH12 <,INV_SEG2 <
18344,0.042,NA,NA,NA
18383,0.09,NA,NA,NA
18412,0.26,NA,NA,NA
18439,0.13,NA,NA,NA
18442,0.094,NA,NA,NA
18470,0.142,NA,NA,NA
