CUST_ID,LABEL_PROB,REASON_CODE_1,REASON_CODE_2,REASON_CODE_3
17529,0.112,NA,NA,NA
17549,0.1,NA,NA,NA
17587,0.164,NA,NA,NA
17602,0.44,INV_SEG_21 <,INV_SEG_32 >,INV_MONTH7 <
17619,0.108,NA,NA,NA
17660,0.088,NA,NA,NA
17741,0.616,INV_SEG_32 <,STD_INV >,INV_MONTH7 <
17803,0.368,INV_MONTH7 >,INV_STD_SQUARE >,INV_MONTH12 >
17823,0.04,NA,NA,NA
17853,0.132,NA,NA,NA
17876,0.07,NA,NA,NA
17897,0.348,INV_SEG_32 >,AGE <,INV_SEG_21 <
17903,0.212,NA,NA,NA
17910,0.474,INV_SEG_21 <,INV_MONTH7 <,INV_MONTH5 <
17961,0.268,NA,NA,NA
17967,0.296,NA,NA,NA
18038,0.128,NA,NA,NA
18132,0.1,NA,NA,NA
18213,0.172,NA,NA,NA
18272,0.334,NA,NA,NA
18278,0.216,NA,NA,NA
18285,0.104,NA,NA,NA
18287,0.494,INV_SEG_32 <,INV_SEG_21 >,INV_MONTH7 >
18292,0.172,NA,NA,NA
18302,0,NA,NA,NA
18344,0.318,NA,NA,NA
18383,0.252,NA,NA,NA
18412,0.396,INV_MONTH7 <,INV_MONTH11 <,INV_MONTH12 >
18439,0.436,INV_SEG_32 <,INV_MONTH7 <,STD_RR >
18442,0.204,NA,NA,NA
18470,0.376,INV_MONTH7 <,INV_SEG_32 >,INV_MONTH12 >
18473,0.134,NA,NA,NA
18481,0.18,NA,NA,NA
18498,0.332,NA,NA,NA
18865,0.328,NA,NA,NA
18499,0.39,STD_RR >,INV_SEG_32 <,INV_MONTH9 >
18515,0.122,NA,NA,NA
18520,0.17,NA,NA,NA
18525,0.414,INV_SEG_32 <,RR >,INV_SEG_21 >
18551,0.004,NA,NA,NA
18564,0.232,NA,NA,NA
18579,0.268,NA,NA,NA
18580,0,NA,NA,NA
18636,0,NA,NA,NA
